Station Name,Station ID,Station Latitude,Station Longitude
Rivington St & Ridge St,349,40.71850211,-73.98329859
Clinton St & Grand St,350,40.71559509,-73.9870295
Front St & Maiden Ln,351,40.70530954,-74.00612572
S Portland Ave & Hanson Pl,353,40.68539567,-73.97431458
Emerson Pl & Myrtle Ave,354,40.69363137,-73.96223558
Bayard St & Baxter St,355,40.71602118,-73.99974372
Bialystoker Pl & Delancey St,356,40.71622644,-73.98261206
E 11 St & Broadway,357,40.73261787,-73.99158043
Christopher St & Greenwich St,358,40.73291553,-74.00711384
E 47 St & Park Ave,359,40.75510267,-73.97498696
William St & Pine St,360,40.70717936,-74.00887308
Allen St & Hester St,361,40.71605866,-73.99190759
Broadway & W 37 St,362,40.75172632,-73.98753523
West Thames St,363,40.70834698,-74.01713445
Lafayette Ave & Classon Ave,364,40.68900443,-73.96023854
Fulton St & Grand Ave,365,40.68223166,-73.9614583
Clinton Ave & Myrtle Ave,366,40.693261,-73.968896
Carmine St & 6 Ave,368,40.73038599,-74.00214988
Washington Pl & 6 Ave,369,40.73224119,-74.00026394
Franklin Ave & Myrtle Ave,372,40.69454609,-73.95801365
Willoughby Ave & Walworth St,373,40.69331716,-73.95381995
John St & William St,376,40.70862144,-74.00722156
6 Ave & Canal St,377,40.72243797,-74.00566443
W 31 St & 7 Ave,379,40.749156,-73.9916
W 4 St & 7 Ave S,380,40.73401143,-74.00293877
University Pl & E 14 St,382,40.73492695,-73.99200509
Greenwich Ave & Charles St,383,40.735238,-74.000271
E 55 St & 2 Ave,385,40.75797322,-73.96603308
Centre St & Worth St,386,40.71494807,-74.00234482
Centre St & Chambers St,387,40.71273266,-74.0046073
W 26 St & 10 Ave,388,40.74971775,-74.00295035
Broadway & Berry St,389,40.71044554,-73.96525063
Duffield St & Willoughby St,390,40.69221589,-73.9842844
Clark St & Henry St,391,40.69760127,-73.99344559
Jay St & Tech Pl,392,40.695065,-73.987167
E 5 St & Avenue C,393,40.72299208,-73.97995466
E 9 St & Avenue C,394,40.72521311,-73.97768752
Lefferts Pl & Franklin Ave,396,40.68034242,-73.95576894
Fulton St & Clermont Ave,397,40.68415748,-73.96922273
Atlantic Ave & Furman St,398,40.69165183,-73.9999786
Lafayette Ave & St James Pl,399,40.68851534,-73.9647628
Pitt St & Stanton St,400,40.71926081,-73.98178024
Allen St & Rivington St,401,40.72019576,-73.98997825
Broadway & E 22 St,402,40.7403432,-73.98955109
E 2 St & 2 Ave,403,40.72502876,-73.99069656
Washington St & Gansevoort St,405,40.739323,-74.008119
Hicks St & Montague St,406,40.69512845,-73.99595065
Henry St & Poplar St,407,40.700469,-73.991454
